naslov,avtor,dolzina,zvrst,o_pisatelju
Klara in Sonce,Kazuo Ishiguro,384,roman,"Kazuo Ishiguro (1954) je bil rojen v Nagasakiju na Japonskem, pri petih letih pa se je s star&scaron;i preselil v Anglijo. Danes velja za enega najodličnej&scaron;ih pisateljev angle&scaron;kem jeziku; doslej je objavil osem romanov (v sloven&scaron;čino so prevedeni <em>Ostanki dneva, Ko smo bili sirote </em>in <em>Ne zapusti me nikdar</em>) in zbirko kratke proze. Za svoj opus je leta 2017 prejel Nobelovo nagrado za književnost"
Pride konj v bar,David Grossman,230,roman,"David Grossman (1954), eden največjih izraelskih pisateljev, si je položaj na izraelski literarni sceni utrdil s svojo prvo literarno nagrado leta 1979 za kratko zgodbo ter nato prvim romanom <em>Kozličkov nasme&scaron;ek</em> iz leta 1983. Skupno je napisal osem romanov, dramo ter večje &scaron;tevilo kratkih zgodb in novel. Njegova romana <em>Knjiga notranje slovnice</em> in <em>Glej geslo: ljubezen</em> sta bila uvr&scaron;čena med deset najvplivnej&scaron;ih knjig od nastanka Izraela. Prejel je več kot deset literarnih nagrad, med njimi tudi nekaj mednarodnih, zadnjo prav za roman <em>Konj stopi v bar</em>."
Seme smrti,Dževad Karahasan,268,roman,"Bosanski romanopisec, dramatik, esejist, literarni in gledali&scaron;ki teoretik in kritik Dževad Karahasan (1953-2023) je avtor &scaron;tevilnih romanov: <em>Vzhodni divan</em> (1989, slov. 2007), <em>&Scaron;ahrijarjev prstan</em> (1996), <em>Sara in Serafina</em> (1999, slov. 2011), <em>Nočni shod</em> (2005, slov. 2011), trilogija <em>Kaj pripoveduje pepel</em> (2015). Pisal je&nbsp;tudi drame, kratko prozo, eseje ter literarnoteoretska in kriti&scaron;ka besedila. Prejel je &scaron;tevilne literarne nagrade, mdr. Herderjevo nagrado (1999), vilenico (2010), Goethejevo medaljo Goethejevega in&scaron;tituta (2012), nagrado Heinricha Heineja (2012) in Goethejevo nagrado (2020). Leta 2022 je bil gost festivala Literature sveta - Fabula."
Čudoviti klon,Eva Pacher,249,roman,"Eva Pacher je izmi&scaron;ljeno ime Barbare Pe&scaron;ut (1964, Ljubljana). Je glasbena producentka, kolumnistka, pesnica in pisateljica. Njene najbolj znane publikacije so pesni&scaron;ke zbirke: <em>Prej/Potem,</em> <em>Granit</em> <em>Žefran,</em> <em>Eksplicitne</em> in avtobiografija <em>Prvi</em> <em>polčas.</em> Pod psevdonimom Eva Pacher je izdala tudi erotični roman <em>Čudoviti</em> <em>klon.</em>"
Vsi moji grehi,Feliks Plohl,378,roman,"Feliks Plohl se je rodil leta 1973 v Bihaću (BiH), kjer je končal naravoslovno gimnazijo. Že zelo zgodaj je pri sebi odkril talent za pisanje. Ta se je verjetno razvil pod vplivom ogromnega &scaron;tevila knjig, ki jih je požiral že od prvega razreda, ko je pri&scaron;el v stik s &scaron;olsko knjižnico. Sredi osnovne &scaron;ole je imel napisane tri &raquo;nindža&laquo; romane, ki jih ni nikoli dokončal, nato pa se je posvetil znanstveni fantastiki. Po mamini smrti je že pri &scaron;tirinajstih zaživel sam, saj je oče živel v Sloveniji. Močno ga je zaznamovala tudi vojna ob razpadu Jugoslavije. Na začetku leta 1994 je bil obsojen na osem let zapora, a v kaosu povojnega obdobja ostal na prostosti in se najprej preselil v Slovenijo, od koder se je po treh letih namenil v Kanado, nato pa je kar sedem let živel v Los Angelesu. Znova je začel pisati na Dobu, kjer je nazadnje odslužil zaporno kazen. Trenutno živi na Danskem."
Tujka,Claudia Durastanti,292,roman,"Claudia Durastanti (1984) je pisateljica in prevajalka iz angle&scaron;čine, velja za eno najprodornej&scaron;ih sodobnih italijanskih avtoric. Že za svoj prvenec <em>Nekega dne bom metala kamne v okno</em> (2010) je prejela nagrado Mondello Giovani. S <em>Tujko </em>(2019) se je prebila v finale za najprestižnej&scaron;o italijansko literarno nagrado strega, roman pa bo kmalu preveden v 15 jezikov."
Na odprtem,Caleb Azumah Nelson,160,roman,"Caleb Azumah Nelson je britanski pisatelj in fotograf ganskih korenin, ki živi v jugovzhodnem delu Londona. Na odprtem je njegov romaneskni prvenec, za katerega je prejel &scaron;tevilne nagrade, med drugim tudi nagrado Costa za najbolj&scaron;i prvenec, hkrati pa je bil roman leta 2021 prvi na Timesovi lestvici najbolje prodajanih knjig. Leta 2023 je iz&scaron;el njegov drugi roman Small worlds."
Internat,Serhij Žadan,336,roman,"Serhij Žadan (1974)&nbsp;je ukrajinski pisatelj, pesnik, esejist in prevajalec. Leta 1996 je diplomiral na Fakulteti za ukrajinsko-nem&scaron;ko filologijo harkovske nacionalne pedago&scaron;ke univerze, kjer je leta 2000 tudi doktoriral. Njegova literarna dela so prevedena v več tujih jezikov, prejel pa je tudi več domačih in tujih nagrad."
Vonj po strahu,Dževad Karahasan,216,roman,"Bosanski romanopisec, dramatik, esejist, literarni in gledali&scaron;ki teoretik in kritik Dževad Karahasan (1953-2023) je avtor &scaron;tevilnih romanov: <em>Vzhodni divan</em> (1989, slov. 2007), <em>&Scaron;ahrijarjev prstan</em> (1996), <em>Sara in Serafina</em> (1999, slov. 2011), <em>Nočni shod</em> (2005, slov. 2011), trilogija <em>Kaj pripoveduje pepel</em> (2015). Pisal je&nbsp;tudi drame, kratko prozo, eseje ter literarnoteoretska in kriti&scaron;ka besedila. Prejel je &scaron;tevilne literarne nagrade, mdr. Herderjevo nagrado (1999), vilenico (2010), Goethejevo medaljo Goethejevega in&scaron;tituta (2012), nagrado Heinricha Heineja (2012) in Goethejevo nagrado (2020). Leta 2022 je bil gost festivala Literature sveta - Fabula."
Šestnajst odtenkov norosti,Rachel Trezise,384,roman,"Pisateljica in dramatičarka Rachel Trezise (1978) se je rodila v dolini Rhondda, v zakotnem območju južnega Walesa, posejanem z opu&scaron;čenimi rudniki. Literaturo je odkrila pri &scaron;estnajstih letih in kmalu tudi sama začela pisati. Tik preden je diplomirala iz novinarstva, je iz&scaron;el njen romaneskni prvenec Na prepihu (In and Out of the Goldfish Bowl, 2000), v katerem je popisala svoje z rev&scaron;čino, alkoholizmom, nasiljem in zlorabami zaznamovano odra&scaron;čanje. Lastno življenje in neposredno okolje sta ostala neusahljivi vir njene snovi. Za zbirko kratkih zgodb Sveža jabolka (Fresh Apples, 2005) je prejela nagrado Dylana Thomasa za najbolj&scaron;e literarno delo mlade avtorice in v brezkompromisnem slogu nadaljevala tako s pisanjem proze kot tudi dramskih besedil za valižansko narodno gledali&scaron;če. Roman &Scaron;estnajst odtenkov norosti (2010) je njeno prvo v sloven&scaron;čino prevedeno delo."
Vrvohodec,Jurij Hudolin,217,roman,"Jurij Hudolin (1973) je slovenski pesnik, pisatelj, kritik, kolumnist in prevajalec, ki je na Filozofski fakulteti v Ljubljani &scaron;tudiral primerjalno jezikoslovje. Od leta 1995 je svobodni književnik; pi&scaron;e poezijo, prozo, scenarije in kolumne. Bil je urednik literarne revije Apokalipsa, nekaj časa je bil tudi glavni urednik založbe VBZ. Njegova dela so bila prevedena v hrva&scaron;ki, srbski, makedonski, če&scaron;ki in angle&scaron;ki jezik, revijalno v več kot trideset jezikov."
"Prišleki, dve knjigi",Lojze Kovačič,1346,roman,"Lojze Kovačič (1928&minus;2004) velja za vodilnega mojstra pripovedne proze dvajsetega stoletja in slovenskega, evropskega ter svetovnega klasika. Pisal je za otroke in odrasle, snov je jemal iz osebnega in družinskega življenja ter neposredno iz okolja, ki ga je doživljal. Njegova dela so bila prevedena v več jezikov."
M. Sin stoletja,Antonio Scurati,956,roman,"Antonio Scurati (1969), sodobni italijanski pisec in esejist, je v Milanu &scaron;tudiral filozofijo, &scaron;olanje pa nadaljeval na elitni Ecole des Hautes Etudes en Sciences Sociales (Visoki &scaron;oli družboslovja) v Parizu. Deluje kot profesor na univerzi v Bergamu, kjer se med drugim ukvarja z značilnostmi medijskega govora o zgodovinskih dokumentih. Kot esejista ga privlačijo teme zla, nasilja, manipulacije in sprevračanja, kar potrjujejo njegovi eseji. Scurati je za prvi del kvarteta zgodovinskih romanov o Benitu Mussoliniju -; začne se leta 1919, zaključi pa v letu 1945 -; dobil prestižno nagrado strega. Takoj ob izidu so prodali pol milijona izvodov. Pripravljajo se prevodi v 39 jezikov in po romanu bo posneta televizijska serija. Septembra 2020 je iz&scaron;el drugi del tetralogije z naslovom L&rsquo;uomo della provvidenza (Mož previdnosti), ki pripoveduje zgodbo o Mussoliniju med letoma 1925 in 1932. V sloven&scaron;čino je Janko Petrovec nedavno prevedel roman Nezvesti oče (Mladinska knjiga, 2016)."
Salambô,Gustave Flaubert,344,roman,"Gustave Flaubert (1821-;1880), eden največjih francoskih in svetovnih pisateljev, neprekosljiv stilist in mojster detajla. Pisati je začel pri petnajstih letih, ko je dobil nagrado za sestavek o gobah. &Scaron;tudiral je pravo v Parizu, kjer je prijateljeval z Victorjem Hugojem, vendar mesta ni maral. Potoval je po Angliji in Bližnjem vzhodu in brez zadržkov opisoval svoje spolne prakse s prostitutkami in prostituti. <em>Gospa Bovary</em> je v nadaljevanjih izhajala v časopisu La Revue de Paris in se kmalu soočila s tožbo oblasti zaradi nemoralnosti, vendar je oblast tožbo po enem tednu izgubila.&nbsp;"
Gral,Vlado Žabot,368,roman,"<strong>Vlado Žabot</strong><strong> </strong>(1958) je slovenski pisatelj, novinar in urednik, ki je bil med letoma 1985 in 1986 zaposlen kot glavni urednik založbe Aleph, leta 1987 je nastopil službo novinarja v kulturni redakciji časopisa <em>Delo</em>, danes pa dela kot publicist in samostojni književnik. Med letoma 2003 in 2007 je bil predsednik Dru&scaron;tva slovenskih pisateljev. Za delo <em>Pastorala </em>je prejel nagrado Pre&scaron;ernovega sklada, za roman <em>Volčje noči </em>pa nagrado kresnik. Bil je pobudnik uveljavitve slovenskega knjižničnega nadomestila in ustanovitve Javne agencije za knjigo Republike Slovenije."
Ljudje z Otoka,Tone Partljič,504,roman,"Tone Partljič, leta 1940 v Mariboru rojeni pisatelj, je začel dvajsetleten v &scaron;estdesetih letih pisati predvsem kraj&scaron;o socialno in satirično prozo. Ko se je odpravil v mestni gledali&scaron;ki svet, pa je napisal okoli trideset uspe&scaron;nih gledali&scaron;kih komedij, nekatere, <em>&Scaron;čuke pa ni</em>, <em>En dan resnice</em> in <em>Moj ata, socialistični kulak</em>, so igrali po vsej Jugoslaviji. Za <em>Kulaka </em>je prejel Grumovo nagrado, za ves komedijski opus pa Pre&scaron;ernovo nagrado za življenjsko delo -; gotovo zasluženo, saj je najteže nasmejati vedno nekam žalostne in malce jezne Slovence. Nekaj navdiha za komedijo je dobil tudi v času, ko je bil državni poslanec. Odkar je upokojen, pi&scaron;e obsežnej&scaron;e prozne knjige, najraje romane."
Piksli,Jasmin B. Frelih,376,roman,"Jasmin B. Frelih (1986) je pisatelj in prevajalec. Njegov prvenec, roman Na/pol, je bil nagrajen z nagrado za najbolj&scaron;i prvenec (2013) in nagrado Evropske unije za literaturo (2016) in je preveden v deset jezikov. Zbirka esejev Bleda svoboda je prejela Rožančevo nagrado za najbolj&scaron;o zbirko esejev (2018). Zbirka kratkih zgodb Ideoluzije (2015) in roman Piksli (2021) sta bila v ožjem izboru za nagrado kriti&scaron;ko sito. V svoj delih se osredotoča na posameznika in njegovo soočanje s predstavljenim svetom."
Uroki polne lune 3,Marjan Tomšič,378,roman,"Marjan Tom&scaron;ič (1939-2023) je bil slovenski pisatelj in kulturni delavec, ki je v letih svojega ustvarjanja&nbsp;obveljal za najizrazitej&scaron;ega predstavnika slovenske različice magičnega realizma, obenem pa je to avtor, ki je Istro postavil na slovenski literarni zemljevid. Napisal je deset romanov, je avtor več zbirk kratkih zgodb, mladinskih del in pravljic, radijskih iger in dramskih besedil. Za svoje delo je prejel &scaron;tevilne nagrade, med drugim nagrado Pre&scaron;ernovega sklada.&nbsp;"
Belo se pere na devetdeset,Bronja Žakelj,268,roman,"Bronja Žakelj (1969) je po izobrazbi diplomirana novinarka, ki se je sprva zaposlila v trženju, danes pa dela v bančni&scaron;tvu. Ker med financami prostora za ustvarjalnost ni veliko, ljubezen do pisanja pa nikoli ni bila čisto zares pozabljena, se je odločila, da je čas, da napi&scaron;e svojo prvo knjigo. Tako je leta 2019 izdala avtobiografski roman Belo se pere na devetdeset, v katerem med drugim opi&scaron;e svoje otro&scaron;tvo, soočanje z materino in bratovo smrtjo, lastno diagnozo raka."
Mestece Galveias,José Luís Peixoto,332,roman,"Jos&eacute; Lu&iacute;s Peixoto (1974) je eden najvidnej&scaron;ih avtorjev sodobne portugalske literature. Njegova leposlovna in pesni&scaron;ka dela so prevedena v več kot trideset svetovnih jezikov, proučujejo pa jih na portugalskih in mednarodnih univerzah. Njegov roman N&atilde;o Olhar (Ne glej), izdan leta 2001, je prejel izjemen odziv literarne kritike in bralstva ter bil nagrajen z literarno nagrado Jos&eacute;ja Saramaga, istega leta pa je bila po njegovem imenu zasnovana nagrada za mlade pisatelje oziroma pisateljice. Začetnemu vzponu je že leta 2007 sledila nagrada C&aacute;lamo Otra Mirada, ki jo je prejel za svoje romaneskno delo Cemit&eacute;rio de Pianos (Pokopali&scaron;če pianov), tej pa se je leta 2012 pridružila italijanska nagrada Libro d&#39;Europa za najbolj&scaron;i evropski roman, ki jo je prejelo njegovo delo Livro (Knjiga). &Scaron;e večji preboj je leta 2016 doživel z romanom Galveias, za katerega je prejel nagrado Oceanos, ki velja za portugalsko različico prestižne angle&scaron;ke nagrade booker. Avtor, ki danes velja za enega najbolj prevajanih in prepoznavnih glasov literature, pisane v portugal&scaron;čini, v prostem času pi&scaron;e tudi besedila za glasbeno skupno Moonspell."
